Well,Campaign,Pad,No. of Stages fracked,100 mesh,40-70,20-40,16-30,Total Proppant,Total Clean Volume,Total Slurry Volume,Total Net Pay covered (m),Total Kh covered (mDM),Total Net Pay covered (exc deferred stages) (m),Total Kh covered (excluding deferred stages) (m),Top of Topmost clstr (mMD),Bot of Botmost clstr (mMD),Top of Topmost clstr (mTVD),Bot of Botmost clstr (mTVD),Top of Topmost clstr (mTVDSS),Bot of Botmost clstr (mTVDSS),Water (Bpd),Oil (Bpd),Gas (MSCFD),FBHP at topmost perf,FBHP at topmost perf2,Reservoir Press at top perf,Drawdown (psi),Gas PI (MSCFD/psi),Remarks,Water_2 (Bpd),Oil_2 (Bpd),Gas_2 (MSCFD),FBHP at topmost perf_2,Reservoir Press at top perf_2,Drawdown_2 (psi),Gas PI_2 (MSCFD/psi),Water_3 (Bpd),Oil_3 (Bpd),Gas_3 (MSCFD),FBHP at topmost perf_3,Reservoir Press at top perf_3,Drawdown_3 (psi),Gas PI_3 (MSCFD/psi)
Raag-20,5-W,5,5,"48,199",0,"822,454","261,418","1,131,861","11,424","12,432",142.7,61.4,142.7,61.4,2977,3459,2833.8,3298.2,2769.4,3228.1,0,205.9,3640,3899,4153,5084,1185,3.1,,47.2,504.7,5168,3024,5084,2060,2.5,0,0,0,#DIV/0!,5084,#DIV/0!,#DIV/0!
Raag-21,15-W,5,5,"50,586",0,"1,001,889","301,150","1,349,831","10,452","11,742",126.1,54.2,126.1,54.2,2977.5,3361,2873.8,3243,2809.4,3177.6,4.7,375.3,5683,3182,3415,5100,1918,3,,80,284.4,4954,3381,5100,1718,2.9,13.7,50.4,1511,596,5100,4504,0.3
Raag-22,15-W,5,7,"64,206",0,"1,038,135","438,329","1,521,206","12,636","14,000",245.9,86.5,245.9,86.5,2832.4,3326.2,2813.5,3304.7,2749.1,3239.1,151.9,213.9,8860,4022,#DIV/0!,5075,1053,8.4,,23.6,319.1,5465,3762,5075,1314,4.2,0,0,0,762,5075,4314,0
Raag-23,15-W,1,5,"23,625",0,"723,895","187,409","932,799","9,725","10,712",143.6,25.7,143.6,25.7,2992.2,3336,2932.3,3270.5,2872.5,3209.7,345.9,419.4,5167,3814,4161,5123,1309,3.9,,28.4,369.5,5727,3879,5123,1244,4.6,0,0,0,#DIV/0!,5123,#DIV/0!,#DIV/0!
Raag-24,5-W,1,6,"67,507",0,"1,284,974","282,560","1,620,396","14,762","16,206",206.7,41.3,206.7,41.3,2839,3401.4,2753.3,3295.7,2693.5,3231,0,733.2,9477,4675,5091,5051,377,25.2,,0,0,0,#DIV/0!,5051,#DIV/0!,#DIV/0!,37.5,277.1,6604,2529,5051,2523,2.6
Raag-25,15-W,1,7,"54,372",0,"981,009","697,468","1,720,626","14,814","16,165",232.3,33.9,232.3,33.9,2744,3410.2,2731.1,3394.6,2671.2,3333.6,0,0,0,4100,#DIV/0!,5042,942,0,,0,444.9,5790,4546,5042,497,11.7,0,0,0,1757,5042,3285,0
Raag-26,5-W,4,7,"40,072",0,"1,155,814","275,629","1,384,825","13,208","14,524",201.6,54.6,201.6,54.6,2784,3400,2755.9,3362.8,2693,3295,0,412.1,6029,4193,4480,5052,859,7,,0,0,6029,4193,5052,859,7,0,0,0,683,5052,4370,0
Raag-27,15-W,4,4,"30,560",0,"552,052","675,077","1,255,000","10,682","11,758",194.8,28.8,194.8,28.8,3134,3578.3,2987.3,3418.1,2924.4,3353.5,19.9,311.1,4369,4544,4906,5145,601,7.3,,134,281.7,5628,3311,5145,1834,3.1,0,0,0,#DIV/0!,5145,#DIV/0!,#DIV/0!
Raag-28,5-W,4,7,"40,324",0,"944,879","298,472","1,631,085","14,441","15,859",189.6,87.2,189.6,87.2,2742,3582.6,2713.8,3539.2,2650.9,3471.3,0,529,8537,3789,#DIV/0!,5036,1247,6.8,,0,0,0,#DIV/0!,5036,#DIV/0!,#DIV/0!,0,0,0,363,5036,4673,0
Raag-29,15-W,4,8,"7,645",0,"975,235","905,326","1,883,450","16,951","18,276",134.4,25.4,134.4,25.4,2804.2,3431,2727,3342.8,2664.1,3278.3,87.8,592.1,5259,#DIV/0!,3732,5041,#DIV/0!,#DIV/0!,,14.2,251.8,5018,#DIV/0!,5041,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5041,#DIV/0!,#DIV/0!
Raag-30,15-W,4,7,0,0,"919,999","1,010,999","1,927,000","17,834","19,642",191.2,40,191.2,40,2877.5,3557,2713.2,3319.9,2650.3,3256,49.5,318.8,4337,4523,#DIV/0!,5035,512,8.5,,19,462.3,4980,4454,5035,582,8.6,0,0,0,#DIV/0!,5035,#DIV/0!,#DIV/0!
Raag-31,15-W,1,7,"35,773",0,"841,651","855,070","1,728,000","17,091","18,734",252.3,47.7,252.3,47.7,2877,3527,2837,3480.6,2777.1,3415.8,276.2,458.6,6468,3892,4438,5085,1192,5.4,,18.8,314.4,5655,3220,5085,1865,3,157.9,56.2,1106,391,5085,4694,0.2
Raag-32,15-W,1,6,"14,568",0,"624,236","755,557","1,390,400","14,097","15,426",141.4,24.6,141.4,24.6,2973.4,3549,2796.9,3318.7,2737.1,3254.4,182.9,380.1,6091,3746,4161,5069,1322,4.6,,14.2,352.9,5656,3743,5069,1325,4.3,0,72.9,1357,751,5069,4318,0.3
Raag-33,15-W,1,5,"8,915",0,"397,238","317,780","705,342","10,238","11,149",129.4,16.5,129.4,16.5,2937.5,3475,2882.6,3397.1,2822.8,3332.6,160.5,487.5,5653,3342,3689,5103,1761,3.2,,28.4,361.5,5858,3748,5103,1355,4.3,4.7,294.6,1452,2611,5103,2492,0.6
Raag-34,15-W,1,8,"35,868",0,"1,477,111","538,722","2,049,000","16,288","18,249",218.8,35.3,218.8,35.3,2837,3529,2740.8,3391.1,2680.9,3330.7,1,340.3,6006,4545,5047,5046,501,12,,198.2,512.3,15416,3547,5046,1499,10.3,60.8,342,4779,1398,5046,3649,1.3
Raag-35,5-W,1,7,"58,236",0,"1,004,546","251,180","1,303,306","13,494","14,643",95.1,11.4,91.9,11,2851,3483,2821.2,3453.2,2761.3,3388.3,178.1,313.4,7133,3902,#DIV/0!,5078,1176,6.1,,0,0,0,#DIV/0!,5078,#DIV/0!,#DIV/0!,0,0,0,488,5078,4591,0
Raag-36,15-W,1,10,"43,163",0,"1,313,670","424,361","1,774,000","16,952","19,362",192.9,29.3,192.9,29.3,2880,3458.6,2823.2,3388.3,2763.4,3327.3,57.7,518.3,5624,4356,4757,5079,723,7.8,,9.4,330.9,5318,3733,5079,1346,4,42.4,691.4,6447,3054,5079,2025,3.2
Raag-37,15-W,5,7,"55,000",0,"1,148,184","615,248","1,812,000","14,653","16,707",212,52.2,212,52.2,2924.3,3549.5,2812.9,3406.3,2753,3343.6,28.5,371.4,5804,4481,5035,5075,594,9.8,,262,377.1,6167,4057,5075,1018,6.1,0,336.7,6226,3076,5075,1999,3.1
Raag-38,15-W,4,6,0,0,"705,449","886,384","1,588,000","13,444","15,038",0,0,0,0,2799,3430,2719.3,3327.3,2656.4,3259.6,167.6,599.4,9254,3685,3996,5038,1353,6.8,,0,307.5,4078,4285,5038,753,5.4,0,0,0,#DIV/0!,5038,#DIV/0!,#DIV/0!
Raag-39,15-W,1,5,"37,934",0,"420,511","529,946","985,000","9,662","10,263",115.2,14.1,101.3,12.1,3070.4,3559,2956.7,3445.3,2896.8,3380.4,320.7,248.8,5394,3526,4076,5133,1607,3.4,,124.8,294.8,5046,3749,5133,1384,3.6,0,0,0,#DIV/0!,5133,#DIV/0!,#DIV/0!
Raag-40,42-W_South,8,6,0,0,"397,259","465,519","862,778","15,195","16,337",191.8,49.4,191.8,49.4,2982.4,3480.6,2964.6,3462.7,2908.7,3406.2,1082.1,487.5,2052,3039,3525,5136,2097,1,,0,0,0,#DIV/0!,5136,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5136,#DIV/0!,#DIV/0!
Raag-41,42-W_South,8,7,0,0,"1,016,349","624,245","1,642,374","17,409","18,921",261.3,51.2,261.3,51.2,3114,3660.6,2938.4,3443.9,2882.5,3387.4,927.4,327.1,1163,2701,3178,5125,2425,0.5,,0,0,0,#DIV/0!,5125,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5125,#DIV/0!,#DIV/0!
Raag-43,42-W_South,11,4,0,0,"670,815","271,305","942,363","10,482","11,360",145.7,14.2,145.7,14.2,3174.5,3632.6,3041.5,3499.6,2984.3,3441.8,292.2,0,161,4108,4713,5167,1059,0.2,,0,0,0,#DIV/0!,5167,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5167,#DIV/0!,#DIV/0!
Raag-44,42-W_South,11,5,0,0,"812,764","551,542","1,364,306","13,582","14,798",184,39.6,184,39.6,3295,3703.5,3054.8,3463.3,2997.6,3405.5,705.1,507.5,4304,2133,2479,5172,3039,1.4,,0,0,0,#DIV/0!,5172,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5172,#DIV/0!,#DIV/0!
Raag-45,42-W_North,1,8,0,0,"1,314,049","850,612","2,164,661","21,556","23,657",338.5,67.6,338.5,67.6,2965.2,3523,2825.1,3382.9,2764.4,3321.2,1000,300,3500,#DIV/0!,#DIV/0!,5080,2000,1.8,Bad PLT Data,0,0,0,#DIV/0!,5080,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5080,#DIV/0!,#DIV/0!
Raag-46,42-W_North,1,7,0,0,"1,104,947","197,136","1,305,471","17,621","18,849",140.1,25.8,140.1,25.8,3242.8,3675.2,3017.7,3449.7,2957,3388.2,583.7,0,93,4306,#DIV/0!,5157,851,0.1,,0,0,0,#DIV/0!,5157,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5157,#DIV/0!,#DIV/0!
Raag-47,42-W_North,1,5,0,0,"881,778","272,970","1,158,953","13,369","14,630",120.1,22.9,120.1,22.9,3273.8,3627.4,3086.7,3440.2,3026,3378.7,472,0,0,4467,#DIV/0!,5185,718,0,,0,0,0,#DIV/0!,5185,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5185,#DIV/0!,#DIV/0!
Raag-48,42-W_North,1,6,0,0,"823,645","525,223","1,348,868","16,230","17,484",190.4,34.5,170.7,30.3,3199.5,3615.3,3027.9,3443.6,2967.2,3382.1,314.1,0,0,4450,5009,5161,712,0,,0,0,0,#DIV/0!,5161,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5161,#DIV/0!,#DIV/0!
Raag-49,42-W_North,1,6,0,0,"907,604","306,536","1,217,287","15,823","16,928",135.2,22.2,135.2,22.2,3211.8,3610.2,3011.5,3409.9,2950.8,3348,880.7,83.1,1905,2554,#DIV/0!,5155,2600,0.7,,0,0,0,#DIV/0!,5155,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5155,#DIV/0!,#DIV/0!
Raag-50,42-W_North,1,6,0,0,"906,083","407,028","1,316,904","17,042","18,270",144.2,16.4,144.2,16.4,3259,3730.6,2979.7,3436.4,2919,3374.2,714.5,0,0,4375,4965,5142,767,0,,0,0,0,#DIV/0!,5142,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5142,#DIV/0!,#DIV/0!
Raag-51,42-W_North,4,9,0,0,"901,778","1,283,548","2,185,122","21,942","24,098",310.5,89.4,310.5,89.4,2797.5,3503,2715.4,3420.9,2654,3358.5,226.6,581,3674,3456,3835,5036,1580,2.3,,0,0,0,#DIV/0!,5036,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5036,#DIV/0!,#DIV/0!
Raag-52z,42-W_North,4,7,0,0,"909,741","633,666","1,543,407","16,585","18,103",252.7,54.9,252.7,54.9,2879.2,3447.8,2731.6,3278.9,2670.2,3216.7,594,87,6369,2872,3201,5043,2171,2.9,,0,0,0,#DIV/0!,5043,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5043,#DIV/0!,#DIV/0!
Raag-53,42-W_North,4,9,0,0,"1,335,449","810,874","2,146,323","21,696","23,934",323,36.2,323,36.2,2923.2,3656,2703.1,3435.8,2641.7,3373.4,632.9,317.4,5258,3204,3726,5031,1827,2.9,,0,0,0,#DIV/0!,5031,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5031,#DIV/0!,#DIV/0!
Raag-54,42-W_South,8,6,0,0,"1,073,637","237,785","1,311,423","14,711","15,944",117,20.1,117,20.1,3042,3393.8,3027.1,3378.9,2970,3319,686.5,70,526,2582,#DIV/0!,5161,2579,0.2,,0,0,0,#DIV/0!,5161,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5161,#DIV/0!,#DIV/0!
Raag-55,42-W_South,8,3,0,0,"641,708","287,403","929,111","7,957","8,824",86.1,12.8,86.1,12.8,3176.7,3347.2,3107.2,3277.7,3050.2,3219.5,0,0,0,#DIV/0!,#DIV/0!,5193,,#DIV/0!,No PLT due to high H2S,0,0,0,#DIV/0!,5193,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5193,#DIV/0!,#DIV/0!
Raag-56,42-W_South,8,5,0,0,"834,240","448,745","1,282,985","12,506","13,700",127.2,11.1,127.2,11.1,3250.2,3602.5,3051.4,3370.9,2994.4,3312.4,0,0,0,#DIV/0!,#DIV/0!,5171,,#DIV/0!,No PLT due to high H2S,0,0,0,#DIV/0!,5171,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5171,#DIV/0!,#DIV/0!
Raag-57,42-W_South,8,4,0,0,"732,979","257,373","990,352","9,899","10,825",91.3,11.9,91.3,11.9,3083.5,3427.8,2968.9,3295.5,2911.9,3237.7,635.7,0,3019,2067,#DIV/0!,5138,3070,1,,0,0,0,#DIV/0!,5138,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5138,#DIV/0!,#DIV/0!
Raag-58,42-W_South,11,2,0,0,"345,693","199,321","545,014","5,979","6,486",42.8,9.9,42.8,9.9,3419.5,3547.8,3245,3373.3,3187.7,3315.2,0,0,0,#DIV/0!,#DIV/0!,5248,,#DIV/0!,No PLT due to high H2S,0,0,0,#DIV/0!,5248,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5248,#DIV/0!,#DIV/0!
Raag-59,42-W_South,11,4,0,0,"571,011","261,867","832,878","9,000","9,776",60.8,9.7,60.8,9.7,3072.2,3341.2,3027.8,3296.8,2970.5,3238.9,0,0,0,#DIV/0!,#DIV/0!,5161,,#DIV/0!,No PLT due to high H2S,0,0,0,#DIV/0!,5161,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5161,#DIV/0!,#DIV/0!
Raag-60,42-W_South,11,8,0,0,"1,258,165","705,517","1,964,717","20,869","22,701",162.9,44.2,162.9,44.2,2981.2,3398.8,2891.1,3308.6,2833.7,3250.5,1025.4,205.1,2086,2718,3109,5106,2389,0.9,,0,0,0,#DIV/0!,5106,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5106,#DIV/0!,#DIV/0!
